People,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
P03482,3,2,3,3,4,4,4,3,3,4,2,3,2,4,3,2,4,4,4,3,3,4,3,4,3,3,3,4,3,4,4,2,4,2,3,3,4,2,3,4,3,2,4,2,3,2,4,3,4,4
P03483,2,3,2,4,2,4,2,2,2,5,2,4,4,4,1,2,2,2,2,2,3,5,4,3,3,3,2,2,2,2,4,4,2,4,2,4,3,2,4,4,4,2,2,3,3,4,5,3,5,2
P03484,3,5,1,4,3,5,1,5,1,5,5,4,2,3,4,4,4,4,5,1,5,2,5,1,5,1,5,4,1,2,3,4,4,5,2,2,2,3,1,3,4,1,4,2,3,1,4,3,3,4
P03485,1,3,1,5,1,2,1,5,1,5,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5,1,3,2,5,5,1,5,5,5,1,5,5,1,5,1,5,1,5,5,5,5
P03486,2,3,3,4,3,2,1,4,2,4,2,3,3,3,2,3,3,2,2,2,2,2,3,3,2,2,2,4,3,2,4,4,3,2,3,4,2,2,2,2,4,1,3,1,4,2,4,4,5,4
P03487,3,5,3,3,4,1,1,3,4,2,4,3,4,3,2,1,4,2,2,3,4,4,3,5,1,1,3,3,4,4,2,1,4,3,3,3,2,3,1,3,3,3,3,2,2,2,3,2,3,2
P03488,3,3,4,4,3,3,4,5,4,3,1,4,2,3,1,1,5,2,1,1,1,4,1,4,2,3,2,5,4,4,4,3,4,3,3,2,5,2,3,4,5,1,5,2,4,1,5,4,5,5
P03489,1,3,2,4,4,3,1,1,1,5,5,3,5,5,5,5,5,5,5,5,2,2,3,3,2,3,4,3,3,5,4,1,3,4,5,5,5,4,4,4,2,4,5,2,3,2,2,5,5,4
P03490,3,2,2,2,4,2,4,4,4,4,3,4,3,2,4,3,4,3,5,3,2,4,2,4,2,4,4,4,2,3,2,4,3,3,1,4,2,2,2,4,4,4,4,4,4,1,4,3,2,3
P03491,2,4,4,3,3,3,3,3,4,4,4,2,4,2,3,3,3,2,3,3,1,4,1,4,2,4,2,4,4,5,3,4,3,3,2,4,2,1,2,3,5,1,5,2,4,1,5,5,4,5
P03492,3,3,3,4,5,3,2,3,2,2,4,2,4,2,2,1,3,2,3,4,2,3,4,2,4,2,4,5,2,3,3,4,5,3,4,2,3,1,4,5,5,1,5,1,5,1,5,5,5,5
P03493,5,2,5,2,5,1,5,3,4,4,1,4,3,5,1,2,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,4,5,5,1,4,4,3,2,2,1,4,1,4,4,5,4
P03494,5,1,4,1,5,1,4,1,5,2,5,1,5,1,4,5,5,5,3,5,1,5,1,5,1,5,1,3,5,4,1,5,5,5,1,5,1,3,1,5,5,1,5,5,5,1,5,5,5,5
P03495,2,3,4,4,4,3,4,5,1,5,4,3,4,3,1,3,3,3,2,3,5,5,1,5,1,5,1,5,5,5,4,4,5,3,3,4,4,2,4,3,5,3,5,3,4,1,3,4,4,4
P03496,4,1,5,1,5,1,5,4,5,1,2,4,3,5,1,1,4,1,1,1,1,5,1,5,1,5,1,5,4,5,3,2,3,1,4,1,3,1,2,3,4,2,5,1,5,5,1,4,5,5
P03497,1,4,4,5,4,2,5,4,4,2,1,4,1,2,2,2,2,2,2,2,1,4,2,4,4,3,2,4,2,4,2,4,4,4,4,2,4,1,2,4,5,1,4,2,4,2,4,3,4,5
P03498,4,1,5,2,5,1,5,4,5,4,3,4,1,5,1,2,2,2,1,1,1,5,1,5,1,2,1,3,5,4,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
P03499,3,2,3,3,4,3,3,4,2,3,3,3,4,2,4,3,4,3,3,4,2,2,1,5,4,4,4,3,3,5,5,3,3,1,4,3,4,1,2,4,4,4,2,4,2,4,3,3,4,2
P03500,2,2,5,2,5,2,4,4,4,3,2,5,3,2,2,2,2,1,3,2,1,4,2,5,2,4,2,4,4,5,5,1,4,1,3,2,5,1,4,3,5,2,4,3,4,2,3,5,2,3
P03501,3,2,3,3,4,2,3,4,3,3,2,4,3,3,3,4,3,3,3,2,5,4,2,5,2,5,2,4,4,4,3,4,3,2,4,1,3,2,4,3,3,3,4,4,2,2,3,3,3,3
P03502,3,2,5,2,4,1,4,3,3,2,1,4,2,3,2,1,3,2,3,2,2,5,2,5,2,3,1,4,4,5,3,4,4,3,2,4,2,3,1,5,5,1,5,1,5,1,5,5,4,5
P03503,3,3,4,2,4,2,4,3,3,2,3,4,4,4,1,3,3,2,3,2,2,5,2,4,2,4,2,4,3,4,5,3,5,2,3,2,4,1,4,4,3,1,3,2,3,2,4,3,3,3
P03504,2,3,2,4,2,1,2,4,5,5,4,2,5,2,3,3,3,3,4,4,1,5,2,4,1,2,2,3,4,4,4,3,5,2,3,4,3,4,2,5,5,1,5,1,4,5,5,4,5,5
P03505,2,3,3,4,2,4,3,4,5,4,3,4,3,3,3,3,3,2,3,2,2,4,2,3,3,4,2,3,3,4,3,2,3,2,2,3,3,3,2,3,3,3,3,2,3,2,4,3,2,3
P03506,2,4,4,2,4,2,4,2,4,4,2,3,3,4,1,2,2,2,2,2,1,5,1,4,2,2,2,4,3,4,4,2,4,1,4,2,2,1,4,4,5,2,4,2,4,2,5,4,5,4
P03507,2,3,4,3,4,2,3,4,2,4,2,4,4,3,3,2,2,2,1,3,1,5,1,5,1,4,1,5,4,4,4,1,4,2,2,2,4,2,3,4,2,2,4,1,3,2,3,1,4,3
P03508,1,2,3,4,5,3,2,2,4,3,3,4,4,4,3,4,3,3,3,2,1,4,1,4,2,3,3,3,3,3,4,4,5,2,2,2,4,1,2,3,2,3,5,3,4,1,5,2,4,3
P03509,4,2,4,2,5,1,2,2,5,2,4,4,5,2,2,4,2,2,4,4,5,3,2,5,2,4,3,4,5,5,4,5,5,4,2,2,2,4,2,3,5,1,5,1,5,1,5,5,5,5
P03510,4,4,3,2,2,5,4,5,4,5,1,5,3,2,4,1,2,1,3,4,1,2,2,3,5,3,3,4,5,5,5,1,2,1,2,4,4,2,2,5,4,5,5,2,5,1,2,3,5,5
P03511,5,2,5,2,5,1,5,2,4,1,3,4,4,4,2,2,3,1,2,2,2,4,2,5,1,4,1,5,4,5,5,1,4,1,5,2,5,1,4,5,3,3,5,3,4,2,5,3,5,4
P03512,4,2,4,2,2,2,3,3,5,4,4,2,4,3,3,3,4,4,4,3,1,5,2,5,1,4,1,4,5,4,4,2,3,2,3,4,4,2,4,4,5,1,4,1,4,2,5,5,4,4
P03513,1,2,4,4,4,2,2,4,2,4,5,2,4,2,3,3,3,2,3,4,2,4,4,4,4,4,3,3,4,3,3,3,3,4,2,4,5,3,3,4,5,2,5,4,4,2,4,5,4,5
P03514,3,1,5,2,5,1,4,5,4,3,1,5,3,5,3,1,1,1,3,1,1,5,1,5,2,4,1,5,4,5,5,4,5,2,3,4,5,1,5,5,4,4,3,4,5,3,5,3,4,4
P03515,4,1,5,1,5,1,2,3,5,2,1,5,1,1,1,1,1,4,1,2,1,5,1,5,1,5,1,5,5,5,5,2,5,1,2,1,5,1,4,5,5,1,5,1,5,1,5,4,5,5
P03516,4,2,3,3,2,2,4,3,3,5,5,3,5,1,4,4,5,5,5,5,2,4,4,4,2,3,1,4,5,4,2,5,2,4,1,5,1,4,1,2,5,1,5,1,5,1,5,3,5,5
P03517,5,5,5,2,5,4,4,5,5,4,2,5,4,2,4,5,5,4,4,3,4,5,4,5,1,2,1,4,5,5,5,3,5,1,5,2,5,3,5,5,5,2,4,1,5,5,5,5,5,5
P03518,1,3,1,3,3,1,1,5,2,5,4,1,4,1,1,3,4,4,4,4,2,2,4,2,3,3,5,4,4,2,3,1,5,3,4,3,3,2,4,4,4,1,4,1,4,1,4,4,5,5
P03519,1,5,1,4,2,5,1,5,3,5,3,4,5,4,4,5,3,2,4,4,3,2,1,3,2,5,2,4,2,2,1,3,4,4,2,5,4,4,4,2,4,3,4,1,3,3,4,3,5,4
P03520,2,4,1,4,2,2,1,5,2,5,5,2,5,2,4,5,5,4,5,5,4,1,5,2,4,4,4,3,1,2,4,2,4,5,1,2,5,3,3,4,5,4,5,3,5,1,5,5,3,5
P03521,4,4,3,3,4,2,4,3,3,5,4,2,5,4,3,4,2,3,4,2,1,5,3,4,2,5,2,4,4,4,3,2,5,2,2,2,4,4,3,4,3,2,4,2,4,3,4,3,4,4
P03522,1,3,3,4,4,3,1,5,2,5,4,3,1,2,3,1,1,1,3,3,1,2,2,4,1,2,3,4,2,3,4,2,4,3,2,1,1,1,3,4,3,2,5,2,3,1,5,1,3,3
P03523,3,5,5,4,3,5,1,5,4,5,1,5,1,5,1,1,1,1,3,1,4,3,4,3,4,3,5,3,2,2,3,1,4,1,4,1,5,1,4,3,4,2,4,2,3,3,3,2,5,3
P03524,1,5,1,5,2,5,1,5,1,5,5,1,5,1,5,5,5,5,4,5,3,4,1,3,2,5,3,4,2,2,1,5,4,5,4,1,2,5,2,5,4,3,3,2,1,4,3,2,5,2
P03525,2,2,2,4,2,1,1,3,2,5,4,3,5,2,5,5,5,4,4,5,2,3,3,4,4,5,3,4,3,3,3,5,4,4,2,5,5,3,4,4,5,2,4,3,5,1,5,5,3,5
P03526,3,3,5,3,3,3,1,2,3,4,3,4,3,3,3,1,3,3,2,2,5,4,1,4,3,3,3,3,3,4,4,1,4,1,4,1,2,3,5,4,3,3,3,2,3,3,3,2,3,3
P03527,1,5,3,3,3,3,1,4,2,4,3,2,5,1,1,5,5,5,4,5,1,5,1,5,1,5,1,3,5,3,3,1,5,2,1,5,1,5,3,2,5,1,5,1,3,1,3,3,3,4
P03528,3,4,2,1,2,4,2,5,2,4,1,4,5,1,4,1,4,4,2,5,4,2,1,2,5,3,4,4,1,4,3,2,3,4,5,2,5,2,3,2,5,3,5,3,2,2,3,5,5,4
P03529,3,1,3,1,2,1,3,1,5,5,4,3,4,2,2,4,3,2,4,3,3,3,4,3,3,2,3,4,3,4,3,4,5,2,2,1,5,3,3,5,5,2,5,2,5,1,3,5,4,5
P03530,3,2,4,4,4,2,4,4,2,2,4,4,4,2,4,4,5,5,4,4,1,5,4,5,1,5,1,5,5,5,4,4,4,2,4,4,4,2,4,4,5,2,5,2,5,1,4,4,4,5
P03531,2,4,5,5,2,2,2,1,2,2,4,4,5,4,2,3,3,3,3,4,5,5,1,5,2,5,1,4,4,3,2,4,5,3,2,3,4,3,3,2,5,2,2,1,3,4,3,4,4,2
P03532,3,5,3,4,3,1,3,3,3,5,4,2,5,3,1,3,3,3,5,3,4,4,3,2,3,2,3,3,4,2,5,4,5,2,3,3,4,1,4,5,4,1,5,1,5,1,5,3,5,5
P03533,1,5,1,5,1,4,1,5,1,5,5,2,5,3,5,4,4,4,4,3,3,1,2,3,4,4,4,3,3,3,4,1,3,2,3,3,5,3,4,3,2,4,3,5,3,2,3,3,4,3
P03534,4,2,4,2,5,2,4,2,4,2,5,2,5,2,5,4,4,4,5,5,1,4,3,4,2,5,2,3,4,5,3,4,4,5,1,5,4,4,1,4,4,2,5,1,4,1,4,4,5,5
P03535,3,2,3,2,4,2,3,2,4,4,3,3,4,2,3,3,3,3,2,3,2,4,4,4,2,5,2,4,4,2,3,5,4,4,2,5,3,3,3,3,5,2,5,2,5,1,4,5,5,5
P03536,1,2,3,3,3,1,1,3,3,3,2,4,3,2,2,1,3,3,1,3,2,5,4,4,2,3,1,4,4,3,3,2,4,4,1,3,3,2,2,3,5,2,5,1,3,2,3,4,5,4
P03537,5,1,5,1,5,1,5,4,3,1,5,5,4,3,4,5,3,3,5,3,4,4,1,3,5,5,1,5,5,5,5,1,5,1,5,1,5,3,5,5,4,3,5,3,5,1,5,1,5,5
P03538,3,1,3,5,5,1,5,5,1,1,5,1,5,5,1,5,5,5,5,1,3,1,5,1,5,1,1,1,1,1,1,5,5,5,1,5,5,5,5,1,3,5,5,5,5,1,5,5,5,5
P03539,3,4,3,2,4,3,4,4,2,3,1,2,4,4,2,2,2,3,4,2,2,4,1,3,3,5,3,3,4,3,5,5,4,2,2,2,5,1,5,5,3,2,5,1,3,1,4,3,4,5
P03540,3,2,4,3,5,2,4,1,3,3,3,4,5,3,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,3,5,1,3,2,5,1,5,4,4,1,4,1,4,1,5,3,5,4
P03541,2,3,4,3,3,2,2,5,2,4,2,4,4,3,3,2,1,1,3,2,1,4,1,4,2,5,2,4,5,4,4,4,3,4,3,4,3,1,3,2,5,1,5,2,4,1,5,3,5,5
P03542,4,2,5,2,5,2,4,5,4,1,3,3,3,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,4,1,5,1,4,3,4,5
P03543,2,2,3,3,4,3,3,3,3,2,4,3,4,2,3,4,4,3,4,4,1,4,3,5,1,4,2,4,4,4,3,5,2,4,1,5,4,5,1,1,4,2,5,1,4,1,4,4,5,4
P03544,3,3,3,3,4,4,3,4,3,3,4,2,5,3,4,4,4,3,3,3,1,5,1,5,2,4,2,4,4,4,4,4,4,3,2,2,4,1,4,4,3,2,5,2,4,1,4,3,5,5
P03545,2,3,3,5,2,1,4,4,1,5,2,4,2,1,1,3,1,2,2,4,2,4,1,2,4,1,2,5,4,5,5,1,5,5,2,1,2,3,1,3,4,1,5,1,3,1,4,4,5,5
P03546,5,1,5,1,5,1,5,5,3,2,3,3,3,4,2,3,1,3,3,2,1,5,1,5,3,5,1,5,5,5,3,1,4,1,5,1,3,3,4,4,4,1,5,1,4,1,5,3,5,4
P03547,4,1,4,2,5,1,5,2,5,3,3,4,5,5,1,2,1,2,4,1,1,5,4,4,1,3,1,5,5,4,4,4,5,2,3,2,4,3,5,4,4,2,5,1,4,1,4,4,5,5
P03548,3,2,4,3,4,3,3,5,3,4,5,1,5,1,5,5,5,5,5,5,1,3,1,5,2,5,3,5,5,4,5,4,5,2,5,5,5,3,5,4,5,1,4,1,3,2,5,5,4,3
P03549,5,2,4,2,4,2,5,2,4,3,3,3,3,2,3,2,2,2,2,4,2,3,2,5,2,4,3,4,5,5,2,4,3,4,2,5,3,5,3,3,4,1,3,2,2,2,3,4,2,3
P03550,3,1,4,3,4,2,5,3,3,5,5,3,4,3,4,4,5,5,3,2,4,1,2,3,3,4,1,3,3,3,4,2,3,3,3,3,3,3,3,3,1,4,3,4,3,1,3,1,3,3
P03551,1,2,4,3,4,3,3,2,3,3,3,3,4,3,4,3,4,4,3,3,4,4,2,4,2,2,2,3,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3
P03552,4,2,4,2,4,2,4,3,4,3,4,3,4,3,4,4,4,4,4,3,2,5,3,4,2,4,2,4,4,4,5,1,4,2,5,1,5,3,4,4,4,2,4,2,4,4,4,3,4,4
P03553,1,3,5,5,5,1,4,5,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,4,1,5,1,5,4,5,5
P03554,3,2,4,3,3,2,2,2,5,4,2,4,4,4,2,2,2,1,2,2,1,4,2,4,4,4,3,4,5,4,4,1,5,1,4,1,5,1,3,4,3,2,5,1,4,4,5,3,4,5
P03555,2,3,2,4,2,3,1,5,1,5,4,2,5,1,2,2,4,3,2,4,1,5,4,5,1,5,2,4,4,4,4,3,4,4,3,3,4,2,2,3,3,1,3,1,4,3,5,4,4,4
P03556,4,1,4,1,5,1,5,2,5,1,5,2,4,4,4,4,4,3,4,2,2,5,2,5,2,5,2,4,4,5,4,5,3,5,1,5,2,1,5,4,5,1,5,1,5,1,5,5,5,5
P03557,1,3,1,5,2,2,1,4,2,5,2,4,3,2,4,2,2,2,3,3,4,1,3,2,4,1,5,2,1,2,4,3,3,3,3,3,4,1,4,2,5,1,3,1,5,2,5,5,5,4
P03558,1,4,3,3,3,4,2,2,4,4,3,3,4,2,4,3,3,3,4,3,3,3,1,5,2,4,2,3,4,4,3,3,3,2,4,2,2,2,4,5,3,2,3,2,3,3,3,3,4,3
P03559,4,1,3,3,5,3,4,2,5,5,5,1,5,1,5,5,5,5,5,5,3,5,5,4,1,5,2,5,5,5,1,4,4,5,3,5,5,3,1,4,3,3,5,3,5,1,3,4,4,5
P03560,4,3,5,3,5,3,4,2,4,2,4,3,5,1,4,4,4,5,5,5,1,5,2,4,2,5,1,4,5,3,2,4,5,4,1,3,4,2,3,5,5,1,5,1,4,1,4,4,5,5
P03561,2,3,3,3,3,3,2,3,4,4,2,4,2,2,3,2,3,3,4,3,4,4,2,2,3,2,3,2,2,3,4,4,4,3,2,4,3,4,3,4,4,3,4,2,4,3,5,4,4,5
P03562,1,3,2,5,1,2,1,5,2,5,3,4,5,2,2,2,4,3,2,3,1,4,1,5,1,2,1,5,4,5,4,1,5,1,5,1,5,2,4,5,2,3,5,1,3,1,4,1,4,5
P03563,2,3,4,4,4,5,3,4,1,5,3,5,5,2,1,2,2,3,2,4,2,3,1,3,3,3,3,2,3,2,3,2,4,3,1,4,3,2,1,1,2,1,5,1,4,1,4,2,4,5
P03564,2,3,2,4,2,3,1,4,2,5,5,3,4,2,4,5,3,3,4,4,1,3,2,4,3,5,2,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,5,2,3,1,3,1,4,4
P03565,3,2,3,4,4,3,5,5,1,4,2,5,4,4,1,3,2,1,2,1,2,4,2,4,3,4,3,3,2,4,4,5,4,3,2,5,2,2,2,3,3,2,5,3,5,1,4,2,4,5
P03566,2,5,3,3,2,3,1,4,3,5,2,4,4,3,3,2,4,2,3,3,1,4,1,5,1,5,2,5,4,5,3,3,4,2,3,2,3,2,3,3,3,2,2,2,4,1,4,2,4,5
P03567,2,4,2,2,2,5,1,4,2,5,3,4,3,2,3,2,1,2,1,2,4,4,2,4,2,5,1,3,4,5,3,4,3,3,2,5,2,3,3,4,3,3,3,3,2,4,4,2,4,3
P03568,3,2,4,2,5,1,3,3,4,3,4,3,4,2,1,2,1,1,2,3,1,5,1,5,1,3,1,5,5,5,5,2,5,1,4,1,4,1,5,4,5,1,5,1,4,1,4,4,5,4
P03569,4,1,5,1,4,1,5,1,5,2,1,5,2,5,2,2,2,1,1,1,2,5,3,4,2,4,1,5,3,4,4,5,4,4,3,5,3,1,5,4,4,1,5,1,4,1,4,3,4,5
P03570,3,4,4,3,3,3,3,3,4,3,1,3,2,3,2,1,2,1,3,3,1,4,3,3,4,2,1,3,3,5,4,1,4,1,4,1,3,1,4,5,3,1,4,2,4,1,5,4,4,4
P03571,2,4,3,4,2,3,2,4,2,4,4,2,4,3,3,3,4,4,4,4,1,4,2,4,2,5,3,2,3,1,5,2,5,1,5,1,5,1,5,5,3,3,4,2,4,1,3,3,4,5
P03572,2,2,4,3,3,3,4,4,3,4,2,3,4,4,4,4,3,3,4,2,2,5,1,4,2,4,2,4,4,3,2,5,4,2,1,4,5,2,4,4,1,2,1,3,3,5,4,2,4,5
P03573,3,4,5,2,5,1,4,5,5,5,5,1,5,1,5,5,5,5,5,5,2,5,4,1,5,5,3,4,1,3,5,5,5,5,1,5,5,1,5,5,5,4,5,3,5,1,5,5,5,5
P03574,1,2,3,3,4,3,2,4,1,4,4,3,4,4,5,3,4,4,4,3,4,5,3,5,2,5,2,5,5,4,3,3,4,4,2,5,3,3,4,3,4,2,3,2,4,3,4,3,4,3
P03575,5,1,5,3,5,1,5,1,5,1,2,3,4,3,4,4,4,2,3,3,3,5,1,2,3,5,1,5,4,5,4,2,4,3,4,2,1,2,4,4,4,2,5,1,5,1,4,2,3,5
P03576,3,1,5,2,4,1,4,3,4,1,5,3,4,4,3,4,4,4,4,3,1,4,1,5,1,4,1,4,5,4,3,4,5,3,1,3,3,3,4,4,4,1,4,4,4,2,5,3,5,4
P03577,5,1,4,3,5,1,5,2,5,2,2,3,4,3,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,3,1,5,1,3,1,3,1,3,5,4,1,5,1,3,1,4,4,5,5
P03578,1,4,3,4,2,3,2,3,4,4,4,2,5,3,4,5,5,5,5,4,1,3,2,4,3,5,2,3,5,3,3,3,4,4,3,4,2,3,2,4,4,1,5,1,4,1,4,2,4,5
P03579,4,2,5,1,5,2,4,1,4,1,2,4,2,3,1,2,1,1,1,1,3,4,1,2,3,3,3,3,3,5,5,1,5,1,5,1,5,1,5,5,4,2,4,2,4,1,5,2,4,4
P03580,1,2,4,3,4,2,2,4,2,5,1,5,2,5,1,2,2,1,2,1,2,5,4,3,3,1,1,4,2,4,3,3,4,1,1,1,3,1,3,2,4,3,1,4,4,4,5,4,1,2
P03581,4,2,4,4,4,4,2,4,5,4,2,5,4,1,2,2,5,5,4,4,1,3,1,2,2,4,2,5,5,4,2,1,2,1,2,1,5,1,4,2,1,2,4,1,4,1,5,1,4,3
P03582,1,2,2,4,2,4,3,1,1,2,5,1,5,5,4,5,2,4,4,5,3,3,2,4,3,5,2,3,4,3,1,4,3,5,1,5,1,5,1,1,4,4,4,2,4,1,4,3,5,4
P03583,3,3,4,3,4,3,4,3,5,3,1,5,2,3,2,1,2,2,2,1,5,2,2,2,5,2,4,4,2,4,4,2,5,2,4,4,3,2,3,5,4,1,5,1,4,1,5,5,4,5
P03584,2,4,3,4,3,3,3,3,3,3,4,2,3,2,2,2,3,3,3,3,1,4,3,4,2,3,2,3,4,3,2,4,5,2,3,2,3,2,3,4,3,1,4,2,3,2,4,3,4,4
P03585,3,4,4,4,5,4,4,3,3,3,5,3,5,5,5,2,5,5,5,5,4,4,4,4,3,4,3,3,3,2,3,4,2,4,1,5,5,5,1,1,4,4,4,3,3,3,2,4,5,4
P03586,3,2,3,1,3,1,4,2,5,3,2,2,4,2,1,1,4,4,2,4,5,5,5,1,5,1,3,2,1,5,3,2,5,2,1,3,1,4,1,3,4,1,5,1,5,1,5,5,5,5
P03587,1,2,3,4,3,2,2,2,4,4,3,3,3,3,3,3,3,3,4,3,3,4,1,3,2,3,3,3,3,3,4,3,2,3,3,3,4,2,4,4,5,2,4,1,5,2,4,4,4,5
P03588,3,1,4,1,5,1,3,2,5,4,3,3,3,3,2,3,1,2,3,3,1,5,2,4,1,3,2,4,5,4,3,4,2,2,3,4,3,2,2,3,4,2,3,1,3,2,3,4,4,3
P03589,1,3,3,4,4,2,1,5,1,5,5,2,5,1,4,5,5,4,3,4,1,4,1,5,1,5,1,4,5,4,5,1,2,1,4,2,5,1,4,4,4,3,4,3,3,4,5,4,5,2
P03590,2,1,1,1,1,2,4,1,4,2,5,1,2,1,4,4,2,4,5,5,1,5,2,4,4,2,2,4,5,1,2,5,4,2,2,2,4,2,1,4,2,1,4,1,5,2,2,1,3,2
P03591,2,1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,1,1,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5
P03592,4,4,3,3,3,2,1,2,3,3,5,1,5,1,5,5,5,5,3,4,1,5,1,5,1,5,1,5,3,3,2,3,3,4,2,3,2,3,2,3,2,3,4,2,4,1,3,3,4,5
P03593,2,2,4,1,4,1,5,3,5,3,1,4,1,4,1,2,1,2,2,1,3,2,1,1,3,1,3,1,2,5,5,3,2,1,3,5,1,1,2,3,5,1,5,1,5,1,5,5,1,5
P03594,2,4,4,4,1,4,3,4,4,3,5,4,5,3,4,2,3,3,2,3,1,5,1,5,2,5,1,5,5,4,3,4,4,4,2,4,3,2,4,3,3,2,4,1,2,2,4,3,3,2
P03595,2,2,4,4,4,3,1,2,4,5,3,4,2,4,3,4,3,3,5,4,3,3,3,3,3,4,3,2,3,3,3,3,4,3,3,2,3,3,2,4,4,2,2,2,4,2,5,4,3,3
P03596,3,1,5,2,5,1,5,4,5,2,3,4,1,5,1,2,3,2,3,1,2,5,2,4,1,2,1,4,3,4,4,2,4,3,4,2,3,2,3,4,5,1,5,1,5,1,5,4,4,5
P03597,1,5,1,5,1,4,1,5,1,5,5,2,5,1,3,4,4,5,3,5,2,2,3,4,2,5,3,4,5,4,3,3,4,4,3,3,5,2,4,3,5,3,5,3,3,2,4,5,4,4
P03598,3,3,3,3,4,2,5,4,4,4,4,2,5,2,3,3,4,4,2,4,1,5,2,5,2,4,1,4,4,4,3,4,4,3,2,1,5,4,4,4,4,2,5,2,3,1,4,3,5,4
P03599,5,5,4,5,5,2,5,5,1,5,5,1,5,1,5,5,5,5,5,5,1,3,1,1,2,1,2,1,3,4,5,5,5,5,1,2,5,5,4,5,5,5,2,5,4,5,5,5,5,2
P03600,3,3,4,4,4,2,4,4,2,3,2,4,2,4,2,4,2,2,2,2,2,4,1,4,4,5,2,4,4,4,3,4,4,2,4,4,4,2,4,4,2,4,2,2,5,5,5,2,3,4
P03601,5,2,4,2,5,1,4,1,5,2,4,3,5,3,2,2,3,2,2,2,1,5,3,5,1,5,2,5,5,4,4,3,5,2,3,2,4,2,4,4,2,2,5,2,5,2,3,2,5,5
P03602,3,5,3,2,3,4,2,2,2,5,3,3,3,4,2,1,5,5,2,4,3,3,2,3,3,5,3,3,2,3,4,2,3,3,4,2,3,3,3,3,4,3,3,4,3,2,3,1,4,2
P03603,2,3,4,2,4,3,3,4,3,3,3,2,4,2,3,2,2,2,3,2,2,4,2,4,2,4,2,4,4,4,3,2,4,2,4,3,4,2,4,3,3,2,3,3,3,3,3,3,4,3
P03604,3,2,4,2,4,2,3,5,4,5,3,3,3,3,2,3,3,2,2,1,1,4,1,5,1,5,1,3,5,5,4,2,3,2,3,3,4,2,3,3,4,2,4,2,4,1,4,2,3,3
P03605,1,5,1,5,2,4,2,4,2,4,5,5,5,2,5,5,5,2,5,4,2,2,2,1,5,4,5,3,1,1,3,4,4,4,4,2,5,3,2,3,5,3,3,3,4,4,5,3,5,4
P03606,3,3,4,3,2,4,3,4,5,4,1,5,3,5,3,4,3,3,1,5,3,3,1,4,4,4,5,1,5,5,2,1,4,4,3,1,4,3,2,4,2,3,4,3,4,1,2,1,4,5
P03607,3,2,3,4,4,2,3,3,3,3,3,4,5,3,5,5,5,5,5,4,3,5,4,5,4,5,1,5,5,3,4,3,5,4,4,2,4,3,4,3,3,2,5,1,4,1,5,4,5,5
P03608,3,5,3,4,3,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,3,2,4,2,4,3,3,3,3,3,1,4,2,4,1,4,1,4,4,4,3,4,2,4,4,4,3,4,3
P03609,1,5,3,4,2,3,1,4,2,5,3,4,3,2,2,2,2,2,4,4,2,3,2,4,2,2,3,4,4,2,3,2,4,3,2,2,3,2,2,4,5,1,4,1,3,2,4,5,5,4
P03610,4,2,4,4,4,2,2,2,4,5,4,2,4,2,4,2,4,4,2,4,1,4,1,4,2,4,2,4,4,2,2,2,5,4,4,2,5,3,4,4,4,2,4,2,4,2,4,2,4,4
P03611,4,1,2,2,5,1,5,1,4,1,1,5,4,5,1,4,1,1,1,2,1,5,2,5,1,3,1,5,4,4,1,5,2,5,1,5,5,1,1,3,2,1,5,1,4,1,5,1,1,5
P03612,1,3,2,5,2,2,1,5,1,5,2,5,3,3,4,2,3,2,4,3,2,3,1,4,4,4,2,4,4,3,4,2,4,3,1,3,4,4,2,4,4,1,5,1,4,1,5,4,5,5
P03613,1,3,5,3,3,2,3,5,1,4,1,5,2,5,5,1,1,1,1,1,1,5,1,5,1,4,1,5,4,5,2,3,3,2,2,3,3,4,3,3,3,2,4,2,3,2,5,2,5,3
P03614,1,5,1,5,1,4,1,5,1,5,4,3,4,3,3,2,2,2,4,2,5,2,4,2,5,2,5,4,1,2,3,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,4,4,4,3
